id,pred
S001,
S002,
S003,
S004,
S005,
S006,
S007,
S008,
S009,
S010,D20
S011,D12
S012,D20
S013,
S014,
S015,D12
S016,
S017,D20
S018,
S019,
S020,
S021,D20
S022,
S023,D1
S024,D20
S025,
S026,
S027,
S028,
S029,D20
S030,D20
S031,D15
S032,D12
S033,D20
S034,
S035,
S036,D20
S037,
S038,
S039,
S040,
S041,
S042,D15
S043,D15
S044,
S045,D20
S046,
S047,D15
S048,D20
S049,D20
S050,
S051,D15
S052,
S053,D15
S054,
S055,
S056,
S057,
S058,
S059,
S060,D12
S061,
S062,
S063,
S064,D20
S065,
S066,
S067,
S068,
S069,D20
S070,D20
S071,
S072,
S073,D12
S074,
S075,D20
S076,
S077,D20
S078,D20
S079,
S080,D20
S081,D15
S082,
S083,D20
S084,
S085,
S086,
S087,
S088,
S089,
S090,D20
S091,
S092,
S093,
S094,
S095,
S096,
S097,D12
S098,
S099,
S100,D15
